Language,Source,English translation,Human?,"If original, then MT:"
cs,"Autorky studie v odůvodnění rozsudků nezřídka narážely  na relativizaci traumatu obětí či omlouvání pachatelů. „Obžalovaný je jedincem, který se do současné doby neprojevoval protispolečensky, není takto disponován, a proto u něj do budoucnosti znalkyně považuje protispolečenské jevy za málo pravděpodobné,“ stojí například v jednom z rozsudků nad mužem, který znásilňoval svou pětiletou neteř. Od soudu odešel s tříletým podmíněným trestem, ačkoliv trestní sazba pro tento čin je pět až patnáct let. Socioložky uvádějí, že soudci v rozsudcích zlehčují či popírají dopad znásilnění na oběti. Soudci i znalci nezřídka konstatovali, že „poškozená trauma nemá“. Domnělá absence psychických následků se pak promítala do zdůvodnění nižšího trestu. „Ze studií přitom vyplývá, že nějakou míru psychických následků má naprostá většina obětí znásilnění,“ dodávají autorky.","The authors of the study often found relativization of the trauma of the victims or the apology of the perpetrators in the justification of the sentences. ""The defendant is an individual who has not exhibited antisocial behavior to date, he is not so disposed, and therefore the expert considers antisocial behaviour unlikely in his future,"" reads, for example, one of the sentences for a man who raped his five-year-old niece. He walked out of court with a three-year suspended sentence, although the penalty for this offense is 5 to 15 years. Sociologists report that judges downplay or deny the impact of rape on victims in their sentences. Judges and experts have often stated that ""the victim is not traumatized."" The supposed absence of psychological effects was then reflected in the justification for a lower sentence. ""Yet studies show that the vast majority of rape victims experience some degree of psychological consequences,"" the authors add.",postedited DeepL,
de,"""Rechtsstaatlichkeit und Menschenrechte sind weltweit so bedroht wie seit Jahrzehnten nicht mehr"", zieht Amnesty International Bilanz. Im Vorwort des Berichts spricht Agnès Callamard, die Internationale Generalsekretärin der NGO, sogar von deutlichen Rückschritten bei der Wahrung von Menschenrechten. Der Stand der Menschen, die in Demokratien leben, sei weltweit auf den Stand von 1985 zurückgegangen. Als Demokratie zählen dabei Länder, die rechtsstaatliche Prinzipien einhalten, etwa die Trennung von Exekutive, Judikative und Legislative und in denen bürgerliche Grundrechte gewahrt werden. 1985 - ""das ist die Zeit vor der Entlassung Nelson Mandelas aus dem Gefängnis, vor dem Fall der Berliner Mauer, vor dem Ende des Kalten Krieges und vor all den damit verbundenen Hoffnungen auf eine neue Ära für die Menschheit"", schreibt Callamard.","""The rule of law and human rights are under greater threat worldwide than they have been for decades,"" summarises Amnesty International. In the foreword to the report, Agnès Callamard, the NGO's International Secretary General, even speaks of significant regression in the protection of human rights. The number of people living in democracies worldwide has fallen back to 1985 levels. Countries that adhere to the principles of the rule of law, such as the separation of the executive, judiciary, and legislature, and in which fundamental civil rights are upheld, count as democracies. 1985 - ""This is the time before Nelson Mandela was released from prison, before the fall of the Berlin Wall, before the end of the Cold War, and before all the associated hopes for a new era for humanity,"" writes Callamard.",postedited DeepL,
hsb,"Bajki su stawiznički zboža, kotrež maja swoje wuchadźišćo w njezbožu. Dźěsću wumrěje mać, bratřa so do ptačkow přeměnja a kralowske dźowki so wot zmija rubja. Bajki powědaja přikładnje wo mylenju wobstejaceho porjada a wo přewinjenju tuteje krizy. W popularnym powědanju zawinujetej so zničenje a wobnowjenje mjez sobu: Ze zbytkow morjenych rostu pomocliwe rostliny, rozkuskowane wopory wotuća z pomocu magiskich objektow k nowemu žiwjenju, ludźo w zwěrjećej postawje so přez namóc wumóža. Mnohe motiwy wosudnych powědančkow wotbłyšćuja nazhonjenja ludźi z přirodu, kotraž so prawidłownje sama wobnowi, ale tež jich přeće za wustrowjenjom, womłodźenjom a přewinjenjom smjerće.","Fairy tales are stories of happiness that have their starting point in misfortune. The child's mother dies, the brothers turn into birds, and royal daughters are stolen by the dragon. Fairy tales exemplify a disruption of the existing order and the overcoming of this crisis. In popular storytelling, destruction and renewal cause each other: helpful plants grow from the remains of those killed, dismembered victims awaken to new life with the help of magical objects, people in animal form are redeemed by violence. Many motifs of fateful tales reflect people's experiences with nature, which regularly renews itself, but also their desire for recovery, eldering and overcoming death.",postedited MT from German,
gla,"Tha Bòrd na Gàidhlig a’ ruith seiseanan trèanaidh Gàidhlig do luchd Pròbhaidh am-bliadhna! Thèid 4 seiseanan a lìbhrigeadh agus thèid an dàrna seisean a ruith air Diciadain, 28.02.24 bho 4.15f gu 5.15f air-loidhne, air Microsoft Teams. Chan fheum cunntas Teams a bhith agaibh airson an seisean a fhrithealadh. Thèid fòcus a dhèanamh air Stòrlann agus tha sinn toilichte gum bi luchd-obrach Stòrlann ann airson bruidhinn ribh mu na diofar ghoireasan a th’ aca aig ìre bun-sgoil agus aig ìre àrd-sgoil. Bidh fàilte bhlàth oirbh tighinn airson èisteachd is bruidhinn riutha agus ’s e deagh chothrom do luchd-phròbhaidh ceanglaichean a dhèanamh le tidsearan ùra eile far Alba. Cha deach co-dhùnadh a dhèanamh mu na cinn-latha airson an dà sheisean a tha ri thighinn fhathast, ach bidh fòcas agus cothroman ionnsachaidh eadar-dhealaichte aig gach fear. Chan fheum sibh a bhith air a’ chiad sheisean a fhrithealadh gus an seisean seo no an dà sheisean ri thighinn a fhrithealadh.","Bòrd na Gàidhlig are running training sessions for Gaelic probationery Teachers this year! There will be 4 sessions running and the first one will run on Wednesday, 28.02.24 from 4:15pm to 5:15pm on Microsoft Teams. You don’t need to have a Teams account to attend the session. We are going to be focusing on Stòrlann and are very happy that Stòrlann staff will be joining us to talk about the resources the have at both primary school and high school level. You are most welcome to join us to talk and listen and it will be a great opportunity for probationers to network with other new teachers accross Scotland. The dates for the two remaining sessions are still to be confirmed, but they will each have a diffrent focus. You do not need to have attended the first session to attend this session or the remaining two sessions.
",yes,
gle,"Ríonnann an tealaíontóir, Isbéal Nic Aoidh, an dualgas a bhíonn ar na Comhlacha Cruthaitheach.
""Is clár dhá bhliana atá i gceist agus an ról atá againne ná na healaíona agus an chruthaitheacht a chur chun cinn sa scoil agus go mbeadh sé mar croílár shaoil na ndaoine óga. Tá guth na ndaoine óga ana-thábhachtach sa phróiséis. Tá trí chuid sa chlár; breathnaíonn muid ar na gníomhaíochtaí atá ar bun acu cheanna féin go cruthaítheach sa scoil, taobh amuigh den scoil agus sa mbaile. Bímid ag obair leis na leanaí ansin; cruthaíonn muid coiste leis na leanaí, tagann siadsan suas le smaointe agus déanaimid go leor ceardlanna ar an gcruthaíocht. Uaidh sin tagann muid suas le creat pleanála agus sa dara bhliain ansin cuirimid an plean sin i gcrích. Tagann ealíontóirí gairmiúla isteach ansin sa dara bliain.""
","The artist, Isbéal Nic Aïh, manages the duties of the Creative Associates. ""It is a two-year program and our role is to promote the arts and creativity in the school and make it the center of young people's lives. The voice of young people is very important in the process. The program has three parts; we look at the activities they are doing creatively in the school, outside the school and in the town. We work with the children there; we create a committee with the children, they come up with ideas and we do many workshops on creativity. From that we come up with a planning framework and in the second year then we complete that plan. Professional artists then join in the second year.""
",,
epo,"La 44-a Universala Kongreso de Esperanto okazis en Varsovio inter la 1-a kaj la 8-a de aŭgusto 1959. Koincide, Richard Nixon estis en Varsovio por kvartaga oficiala vizito inter la 2-a kaj la 6-a de aŭgusto. Tiutempe, Nixon estis vic-prezidanto de Usono, kaj lia vizito al Pollando (kaj, poste, al Sovetunio) estis grava, ĉar estis klopodo re-alproksimigi la ”Unuan” kaj la ”Duan” Mondojn, post jaroj da konfliktoj kaj malkonsentoj ĉiuspecaj.
La formalaj rendevuoj dum lia vizito inkluzivis plurajn kunsidojn kun membroj de la Komunista Partio kaj publikajn elmontrojn de amikeco inter la kapitalisma kaj komunisma blokoj.","The 44th Universal Congress of Esperanto took place in Warsaw between August 1 and 8, 1959. Coincidentally, Richard Nixon was in Warsaw for a four-day official visit between August 2 and 6. At the time, Nixon was vice-president of the United States, and his visit to Poland (and, later, to the Soviet Union) was important, because it was an effort to re-approach the ""First"" and the ""Second"" Worlds, after years of conflicts and disagreements of all kinds. The formal appointments during his visit included several meetings with members of the Communist Party and public displays of friendship between the capitalist and communist blocs.",,
iku,"ᓄᓇᕕᐅᑉ ᑭᒡᒐᖅᑐᐃᔨᖓ ᑲᓇᑕᐅᑉ ᒪᓕᒐᓕᐅᖅᑎᖏᓐᓂ ᖃᐃᖁᔨᓂᖃᖅᐳᖅ ᒐᕙᒪᑐᖃᒃᑯᓐᓂ “ᐃᓚᐅᑎᑦᑎᙱᓐᓂᐅᔪᒥ” ᐃᒡᓗᖃᖅᑎᑦᑎᓂᕐᒧᑦ ᖄᖏᖅᓯᒪᔪᓂ ᐊᕐᕌᒍᓂ 30−ᓂ. ᐊᑏᐱ—Baie-James—ᓄᓇᕕᒃ—ᐄᔫ ᑲᓇᑕᐅᑉ ᒪᓕᒐᓕᐅᖅᑎᖏᓐᓂ ᐃᓚᒋᔭᐅᔪᖅ ᓯᐅᓪᕕ ᐱᕉᑉ ᐅᖃᓚᐅᖅᐳᖅ “ᐱᓪᓚᕆᐅᕗᖅ” ᑐᑭᓯᐅᒪᓂᕐᒥ ᐃᒡᓗᓂ ᖃᓄᐃᓕᖓᓂᖏᓐᓂ ᐅᖓᓯᒃᑐᒥ ᓄᓇᓕᐅᔪᓂ ᐊᔾᔨᒋᙱᓐᓂᖏᓐᓂ ᐊᒥᐊᒃᑯᖓᓂ ᑯᐸᐃᖕᒥ, ᑐᓴᒐᒃᓴᓕᐊᖑᔪᒥ ᐊᐃᑉᕆᓕ 10−ᒥ. ᐸᓛᒃ ᑯᐸᑯᐊᒃᑯᑦ ᑲᓇᑕᐅᑉ ᒪᓕᒐᓕᐅᖅᑎᖏᓐᓂ ᐃᓚᒋᔭᐅᔪᖅ ᖃᐃᖁᔨᓂᖃᓚᐅᖅᐳᖅ “ᓇᓗᓇᐃᖅᑕᐅᓯᒪᔪᓂ ᐊᒻᒪ ᓱᖏᐅᔾᔭᐅᓯᒪᓂᖏᓐᓂ” ᐋᖅᑭᒍᑎᒃᓴᓂ ᓄᓇᕕᖕᒧᑦ, ᐃᓚᒋᐊᖅᓯᓪᓗᓂ ᐅᓄᕐᓂᖅᓴᐅᔪᒥ ᐊᑕᐅᓯᕐᒥ−ᐱᖓᓱᓂ ᐊᕕᒃᑐᖅᓯᒪᓂᐅᔫᑉ ᐃᓄᒋᐊᖕᓂᖏᓐᓂ ᐃᒡᓗᖃᖅᐳᑦ ᐸᖕᒥᐅᓗᐊᖅᑐᓂ ᐃᒡᓗᓂᑦ.

","Nunavik’s representative in Parliament is calling out the federal government for its “disengagement” on housing over the past 30 years. Abitibi—Baie-James—Nunavik—Eeyou MP Sylvie Bérubé said it’s “crucial” to understand that housing conditions in remote communities are not the same as the rest of Quebec, in a news release Wednesday. The Bloc Québécois MP called for “specific and adapted” solutions for Nunavik, adding that more than one-third of the region’s population lives in overcrowded housing.

",yes,"The MP has called on the federal government to exclusive"" housing in the past 30 years. Atiibi—Baie-James—Yahoo MP Sylvie Prairie said it is ""important"" to understand the housing situation in remote communities in different parts of Quebec, in a press release on April 10. Black Quebec's MPs invited ""special and adaptable"" solutions to Nunavik, adding that more than one-third of the region's population live in overcrowded housing."
ukr,"Навіть ті, хто не надто стежить за політичними течіями у США і не знає імен американських конгресменів, за останній тиждень не могли не чути про Марджорі Тейлор Грін або принаймні про її ініціативи щодо України. Саме ця американська конгресменка подала низку найодіозніших (а якщо говорити прямо – то ідіотських) правок до закону про американську допомогу Україні. Наприклад, вона запропонувала додати до бюджетного закону США норму про те, що кожен конгресмен, хто підтримає допомогу Україні, має бути мобілізований до ЗСУ. ""Якщо ви хочете фінансувати війну, чому б вам не воювати в ній"", – пояснила свою логіку депутатка. ","Even if you don't follow US politics closely and don't know the names of American Congressmen, you could hardly have missed hearing about Marjorie Taylor Greene – or at least her initiatives regarding Ukraine – over the past week. The American Congresswoman put forward a series of the most abhorrent (and, let's be honest, idiotic) amendments to the Ukraine aid bill. She proposed, for example, that any member of the House of Representatives who voted for the Ukraine aid bill should be required to conscript into the Ukrainian military. ""If you want to fund endless foreign wars, you should have to go fight them,"" the lawmaker explained.

",yes,"Even those who do not follow the political currents in the United States and do not know the names of American congressmen over the past week could not help but hear about Marjorie Taylor Greene, or at least about her initiatives regarding Ukraine. It was this American congresswoman who submitted a number of the most odious (and, to put it bluntly, idiotic) amendments to the law on American aid to Ukraine. For example, she proposed to add a provision to the US budget law that every congressman who supports assistance to Ukraine must be mobilized to the Armed Forces of Ukraine. ""If you want to finance the war, why don't you fight in it,"" the deputy explained her logic. 
"
hau,"Wakilan kasashen duniya na taro a Canada karo na hudu domin shawo kan matsalar gurɓatar yanayi da robobi da leda ke haifarwa. A wajen taron da suka gudanar a sheakarar 2021 ne ƙasashen suka amince cewa za su cimma matsaya zuwa karshen wannan shekarar ta 2024. Masu rajin kare muhalli na dora alhakin hakan ga ƙsashen dake da albarkatun mai. Wakilin BBC ya ce an samu mabambantan ra'ayoyin kan hanyar da za a shawo kan matsar, inda wasu ke ganin a taƙaita samar da robobi da leda yayin da wasu ke ganin a hana ma'aikatun amfani da wasu sinadarai.","International delegates are meeting in Canada for the fourth time to tackle the problem of plastic and plastic pollution. At the 2021 meeting, the countries agreed to reach an agreement by the end of 2024. Dora's parents are responsible for this. According to the BBC, there has been a variety of ideas on how to tackle the problem, with some seeing plastics and plastic products being softened, while others see the use of chemicals banned.",,
tel,"చెల్లిని వేధిస్తున్న అన్న జగన్ ఇలాంటి వ్యక్తిని సైకో కాక ఇంకేమనాలి అంటూ ప్రశ్నించారు. ఎవరైనా తోబుట్టువులు కష్టాల్లో ఉంటే ఆదుకుంటారని, కానీ జగన్ తన పార్టీని కాపాడడం కోసం పాదయాత్ర చేసి అండగా ఉన్న చెల్లి షర్మిలను వేధిస్తున్నారని, ఆమెకే అప్పులు ఇచ్చాడని, ఇంతకన్నా సైకో కి ఇంకేం ఉదాహరణ కావాలంటూ ప్రశ్నించారు. చెల్లికే అప్పిచ్చి వడ్డీ వ్యాపారం చేస్తున్న జగన్ వాస్తవంగా షర్మిల తన తండ్రి ఆస్తిలో వాటా కోరారని, అదేమీ జగన్ సంపాదించిన ఆస్తి కాదన్న చంద్రబాబు, అది వైయస్ రాజశేఖర్ రెడ్డి కూడబెట్టిన ఆస్తి, అందులో షర్మిలకు వాటా ఉందని ఆమెనే చెప్పారన్నారు. కానీ ఈ సైకో ఆస్తిలో వాటా ఇవ్వకుండా చెల్లితోనే వడ్డీవ్యాపారం చేస్తున్నాడని చంద్రబాబు విమర్శించారు. సొంత చెల్లెలికి న్యాయం చేయలేని జగన్ ప్రజలకు ఏం న్యాయం చేస్తాడో మీరే తేల్చుకోవాలి అంటూ చంద్రబాబు పేర్కొన్నారు.","Jagan, who is harassing his sister, asked if such a person should be called anything other than a psycho. ""If any sibling is in trouble, he will help, but Jagan is harassing his sister Sharmila, who is on a padayatra to save his party, and he has given loans to her. Jagan, who is doing interest business by giving money to his sister, actually asked sharmila for a share in his father's property and it is not the property acquired by Jagan, chandrababu said that it was the property accumulated by YS Rajasekhar Reddy and sharmila had a stake in it. But Chandrababu criticized that this psycho is not giving a share in the property and is doing the money lending business with his sister. Chandrababu said that jagan, who cannot do justice to his own sister, should decide what justice he will do to the people.",,
